"blocktype" "S1 tone  " "s2 color  " "task 1 difficulty  " "low/high tone " "yellow/blue " "SOA" "Response time 1" "Response time 2" "status of response 1" "status of response 2"
1 "hi" "blue" "easy" 2 4 75 1499 1429 1 1
1 "hi" "blue" "diff" 2 4 600 1403 1406 1 1
1 "lo" "yellow" "diff" 1 3 600 990 292 1 1
1 "lo" "yellow" "easy" 1 3 150 753 268 1 1
1 "hi" "blue" "easy" 2 4 150 631 274 1 1
1 "lo" "blue" "easy" 1 4 150 699 219 1 2
1 "hi" "blue" "diff" 2 4 300 1195 304 2 1
1 "hi" "yellow" "diff" 2 3 300 2209 230 1 1
1 "hi" "yellow" "diff" 2 3 300 721 1376 1 1
1 "hi" "blue" "diff" 2 4 150 1151 298 1 1
1 "lo" "blue" "easy" 1 4 150 1079 340 1 1
1 "hi" "yellow" "diff" 2 3 150 1935 459 1 1
1 "lo" "yellow" "easy" 1 3 300 1027 388 1 1
1 "hi" "yellow" "diff" 2 3 600 851 257 1 2
1 "hi" "yellow" "easy" 2 3 75 1076 300 1 2
1 "hi" "blue" "easy" 2 4 600 1220 318 2 1
1 "lo" "yellow" "diff" 1 3 75 1437 301 1 1
1 "hi" "blue" "easy" 2 4 75 726 235 1 1
1 "hi" "yellow" "easy" 2 3 300 686 292 1 1
1 "hi" "yellow" "easy" 2 3 300 706 210 1 1
2 "hi" "yellow" "diff" 2 3 150 1742 461 2 1
2 "lo" "blue" "easy" 1 4 600 777 383 1 1
2 "hi" "yellow" "diff" 2 3 150 991 404 2 1
2 "lo" "blue" "diff" 1 4 600 1430 411 1 2
2 "hi" "yellow" "diff" 2 3 75 1032 275 1 1
2 "hi" "blue" "diff" 2 4 600 933 280 1 1
2 "lo" "blue" "diff" 1 4 150 1085 295 1 1
2 "lo" "blue" "diff" 1 4 600 972 323 1 1
2 "hi" "yellow" "diff" 2 3 150 837 337 1 1
2 "hi" "blue" "easy" 2 4 300 3123 335 1 1
2 "lo" "blue" "easy" 1 4 600 1062 288 1 1
2 "hi" "blue" "diff" 2 4 300 1589 212 2 1
2 "hi" "blue" "diff" 2 4 300 968 341 2 1
2 "lo" "yellow" "easy" 1 3 150 1542 302 1 1
2 "lo" "yellow" "diff" 1 3 75 828 263 1 1
2 "hi" "blue" "diff" 2 4 600 862 219 1 1
2 "hi" "yellow" "diff" 2 3 300 675 284 1 1
2 "hi" "blue" "easy" 2 4 150 1120 781 1 1
2 "lo" "blue" "diff" 1 4 150 1043 992 2 1
2 "lo" "blue" "easy" 1 4 150 1039 330 1 1
2 "lo" "blue" "diff" 1 4 300 996 307 1 1
2 "hi" "yellow" "diff" 2 3 300 708 238 1 1
2 "lo" "yellow" "easy" 1 3 300 1037 361 1 1
2 "lo" "yellow" "easy" 1 3 75 577 271 1 1
2 "lo" "yellow" "diff" 1 3 600 950 291 1 1
2 "lo" "blue" "diff" 1 4 300 635 315 1 1
2 "hi" "yellow" "diff" 2 3 300 929 514 1 1
2 "lo" "yellow" "easy" 1 3 300 694 296 1 1
2 "lo" "blue" "easy" 1 4 600 1069 286 1 1
2 "hi" "blue" "easy" 2 4 75 941 296 1 1
2 "lo" "yellow" "diff" 1 3 75 1737 326 2 1
2 "hi" "blue" "diff" 2 4 300 2789 652 2 2
2 "hi" "blue" "diff" 2 4 600 944 260 1 1
2 "hi" "blue" "easy" 2 4 300 781 214 1 1
2 "lo" "blue" "easy" 1 4 300 942 307 1 1
2 "hi" "yellow" "diff" 2 3 300 1068 356 1 1
2 "hi" "blue" "diff" 2 4 150 762 258 1 1
2 "lo" "blue" "easy" 1 4 600 917 282 1 1
2 "hi" "yellow" "easy" 2 3 150 873 320 1 1
2 "lo" "blue" "easy" 1 4 300 803 274 1 1
2 "hi" "yellow" "diff" 2 3 300 898 331 1 1
